geocode_address	above_high	above_low	time
101 RYAN ST, WESTEND, BRISBANE	1.8	-6.3	29/01/2013 10:25:00 AM
101 WELSBY ST, NEWFARM, BRISBANE	0.1	-3.5	29/01/2013 11:00:00 AM
1019 ANN ST, NEWSTEAD, BRISBANE	3.7	-0.5	29/01/2013 11:00:00 AM
102 ALBION RD, WINDSOR, BRISBANE	0.2	-1.2	29/01/2013 11:00:00 AM
102 BURRENDAH RD, JINDALEE, BRISBANE	0.1	-3.3	29/01/2013 8:45:00 AM
102 GRAFTON ST, WINDSOR, BRISBANE	0.4	-0.3	29/01/2013 11:00:00 AM
102 LINDUM RD, LYTTON, BRISBANE	0.4	-1.1	29/01/2013 11:00:00 AM
102 MCBRIDE RD, PINKENBA, BRISBANE	0.8	-0.8	29/01/2013 11:00:00 AM
102 QUAY ST, BULIMBA, BRISBANE	0.7	-2.1	29/01/2013 11:00:00 AM
102 RIVERSIDE PL, MORNINGSIDE, BRISBANE	2.2	-0.6	29/01/2013 11:00:00 AM
102 RYAN ST, WESTEND, BRISBANE	0.3	-1.4	29/01/2013 10:25:00 AM
102 SHERBROOKE RD, WILLAWONG, BRISBANE	0.2	-7.2	29/01/2013 9:50:00 AM
102 SUNSET RD, KENMORE, BRISBANE	4.4	-34.2	29/01/2013 8:45:00 AM
102 VICTORIA ST, FAIRFIELD, BRISBANE	1.1	-1.8	29/01/2013 10:15:00 AM
102 VIRGINIA AVE, HAWTHORNE, BRISBANE	0.8	-13.5	29/01/2013 11:00:00 AM
1021 ANN ST, FORTITUDEVALLEY, BRISBANE	3.7	-0.7	29/01/2013 11:00:00 AM
1023 ANN ST, FORTITUDEVALLEY, BRISBANE	0.3	-0.8	29/01/2013 11:00:00 AM
1025 STANLEY ST, EASTBRISBANE, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM
1027 STANLEY ST, EASTBRISBANE, BRISBANE	0.5	-0.6	29/01/2013 11:00:00 AM
1029 STANLEY ST, EASTBRISBANE, BRISBANE	2.2	-0.5	29/01/2013 11:00:00 AM
103 BANCROFT RD, PINKENBA, BRISBANE	0.6	-1.4	29/01/2013 11:00:00 AM
103 CASTLEMAINE ST, MILTON, BRISBANE	1.1	0.4	29/01/2013 10:40:00 AM
103 CROSBY RD, ALBION, BRISBANE	0.8	-14.9	29/01/2013 11:00:00 AM
103 MARSHALL RD, ROCKLEA, BRISBANE	1.8	-5.9	29/01/2013 9:50:00 AM
103 MARY ST, BRISBANECITY, BRISBANE	7.3	-1.4	29/01/2013 10:55:00 AM
103 MERCURY ST, MOGGILL, BRISBANE	9.4	-5.7	29/01/2013 4:00:00 AM
103 MERTHYR RD, NEWFARM, BRISBANE	0.4	-1.2	29/01/2013 11:00:00 AM
103 MUNRO ST, STLUCIA, BRISBANE	1.2	-1.4	29/01/2013 10:25:00 AM
103 WENDOUREE CRES, WESTLAKE, BRISBANE	5.7	-5.7	29/01/2013 7:40:00 AM
1031 BRUNSWICK ST, NEWFARM, BRISBANE	1	-2.6	29/01/2013 11:00:00 AM
1033 ANN ST, FORTITUDEVALLEY, BRISBANE	0.2	-0.7	29/01/2013 11:00:00 AM
1033 BRUNSWICK ST, NEWFARM, BRISBANE	0.9	-2.4	29/01/2013 11:00:00 AM
1035 ANN ST, FORTITUDEVALLEY, BRISBANE	0.5	-0.3	29/01/2013 11:00:00 AM
104  SYDNEY ST, NEWFARM, BRISBANE	0.1	-0.1	29/01/2013 11:00:00 AM
104 BOUNDARY ST, TINGALPA, BRISBANE	0.1	-1.9	29/01/2013 11:00:00 AM
104 DESHON ST, WOOLLOONGABBA, BRISBANE	0.1	-1.2	29/01/2013 11:00:00 AM
104 GRAFTON ST, WINDSOR, BRISBANE	0.4	-0.1	29/01/2013 11:00:00 AM
104 LATHER RD, BELLBOWRIE, BRISBANE	4.9	-12.8	29/01/2013 7:15:00 AM
104 MAIN BEACH RD, PINKENBA, BRISBANE	0.5	-4.3	29/01/2013 11:00:00 AM
104 MURIEL AVE, MOOROOKA, BRISBANE	0.5	-3.6	29/01/2013 9:50:00 AM
104 QUAY ST, BULIMBA, BRISBANE	2	-2.1	29/01/2013 11:00:00 AM
104 RAGNOR RD, HEMMANT, BRISBANE	0.8	0	29/01/2013 11:00:00 AM
104 ROME ST, YERONGA, BRISBANE	1.8	-12.5	29/01/2013 10:00:00 AM
104 RYAN ST, WESTEND, BRISBANE	0	-1.3	29/01/2013 10:25:00 AM
104 SKYLINE DR, KHOLO, BRISBANE	6.3	-12.6	30/01/2013 2:30:00 AM
104 SOMERSET ST, WINDSOR, BRISBANE	0.2	-0.6	29/01/2013 11:00:00 AM
104 SYDNEY ST, NEWFARM, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM
1040 STANLEY ST, EASTBRISBANE, BRISBANE	2.5	-1	29/01/2013 11:00:00 AM
1042 A BRUNSWICK ST, NEWFARM, BRISBANE	2.4	0.5	29/01/2013 11:00:00 AM
1042 BRUNSWICK ST, NEWFARM, BRISBANE	0.6	-4.5	29/01/2013 11:00:00 AM
1042 BRUNSWICK ST, NEWFARM, BRISBANE	0.9	-2.2	29/01/2013 11:00:00 AM
1043 C LYTTON RD, MURARRIE, BRISBANE	2	-8	29/01/2013 11:00:00 AM
1047 ANN ST, FORTITUDEVALLEY, BRISBANE	0.3	-0.3	29/01/2013 11:00:00 AM
105 A TINGIRA ST, PINKENBA, BRISBANE	2.2	-0.1	29/01/2013 11:00:00 AM
105 BARTON RD, HAWTHORNE, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM
105 GRAFTON ST, WINDSOR, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM
105 KING ARTHUR TCE, TENNYSON, BRISBANE	2.1	-7.5	29/01/2013 9:50:00 AM
105 LATHER RD, BELLBOWRIE, BRISBANE	6.1	-15.8	29/01/2013 7:05:00 AM
105 LEYBOURNE ST, CHELMER, BRISBANE	0.4	-2.4	29/01/2013 9:40:00 AM
105 MERTHYR RD, NEWFARM, BRISBANE	0.4	-1.3	29/01/2013 11:00:00 AM
105 MUNRO ST, STLUCIA, BRISBANE	1.6	-1	29/01/2013 10:25:00 AM
105 NORMAN AVE, NORMANPARK, BRISBANE	0.3	-2.8	29/01/2013 11:00:00 AM
105 OKEEFE ST, GREENSLOPES, BRISBANE	0.2	-1.1	29/01/2013 11:00:00 AM
105 ROME ST, YERONGA, BRISBANE	3.6	-8.2	29/01/2013 10:00:00 AM
105 RYAN ST, WESTEND, BRISBANE	1.2	-5.7	29/01/2013 10:25:00 AM
105 SANDMERE RD, PINKENBA, BRISBANE	0.7	-8.7	29/01/2013 11:00:00 AM
105 TINGIRA ST, PINKENBA, BRISBANE	2.1	-3.7	29/01/2013 11:00:00 AM
105 YOUNGS RD, HEMMANT, BRISBANE	0.9	-1.9	29/01/2013 11:00:00 AM
1050 STANLEY ST, COORPAROO, BRISBANE	2.5	-0.9	29/01/2013 11:00:00 AM
1051 LYTTON RD, MURARRIE, BRISBANE	2.2	-26.3	29/01/2013 11:00:00 AM
1052 OXLEY RD, OXLEY, BRISBANE	3.8	-0.8	29/01/2013 9:50:00 AM
1055 ANN ST, FORTITUDEVALLEY, BRISBANE	0.3	-0.3	29/01/2013 11:00:00 AM
1058 ANN ST, FORTITUDEVALLEY, BRISBANE	0.2	-2.8	29/01/2013 11:00:00 AM
1059 ANN ST, FORTITUDEVALLEY, BRISBANE	0.5	-0.6	29/01/2013 11:00:00 AM
1059 OXLEY RD, OXLEY, BRISBANE	1.8	-0.1	29/01/2013 9:50:00 AM
106 A FINSBURY ST, WILSTON, BRISBANE	2.6	-4.1	29/01/2013 11:00:00 AM
106 A VICTORIA ST, WESTEND, BRISBANE	0.9	-2.6	29/01/2013 10:35:00 AM
106 ALBION RD, WINDSOR, BRISBANE	0	-1.3	29/01/2013 11:00:00 AM
106 B VICTORIA ST, WESTEND, BRISBANE	1	-1	29/01/2013 10:35:00 AM
106 BARTON RD, HAWTHORNE, BRISBANE	0.1	-0.9	29/01/2013 11:00:00 AM
106 BENJAMIN PL, LYTTON, BRISBANE	0.8	-1	29/01/2013 11:00:00 AM
106 CARLILL LANE, HEMMANT, BRISBANE	2.2	-1.4	29/01/2013 11:00:00 AM
106 FINSBURY ST, WILSTON, BRISBANE	2.2	-2.9	29/01/2013 11:00:00 AM
106 GRAFTON ST, WINDSOR, BRISBANE	0.3	-0.3	29/01/2013 11:00:00 AM
106 MEDWAY ST, ROCKLEA, BRISBANE	0.5	-1.9	29/01/2013 9:50:00 AM
106 ROME ST, YERONGA, BRISBANE	2.6	-11.8	29/01/2013 10:00:00 AM
106 VIRGINIA AVE, HAWTHORNE, BRISBANE	0.8	-13.5	29/01/2013 11:00:00 AM
1060 STANLEY ST, COORPAROO, BRISBANE	1.1	-0.8	29/01/2013 11:00:00 AM
1062 ANN ST, FORTITUDEVALLEY, BRISBANE	1.1	-1.9	29/01/2013 11:00:00 AM
1069 OXLEY RD, OXLEY, BRISBANE	2.4	-1.2	29/01/2013 9:50:00 AM
107 CASTLEMAINE ST, MILTON, BRISBANE	0.9	0.1	29/01/2013 10:40:00 AM
107 GRANVILLE ST, WILSTON, BRISBANE	1.6	-4.3	29/01/2013 11:00:00 AM
107 KING ARTHUR TCE, TENNYSON, BRISBANE	3.6	-8.6	29/01/2013 9:50:00 AM
107 MERTHYR RD, NEWFARM, BRISBANE	0.5	-1.4	29/01/2013 11:00:00 AM
107 MILTON RD, MILTON, BRISBANE	0.4	-1.6	29/01/2013 10:40:00 AM
107 MUNRO ST, STLUCIA, BRISBANE	1.3	-0.6	29/01/2013 10:25:00 AM
107 OKEEFE ST, GREENSLOPES, BRISBANE	0.4	-1.9	29/01/2013 11:00:00 AM
107 ROSECLIFFE ST, DUTTONPARK, BRISBANE	3.4	-16.7	29/01/2013 10:20:00 AM
